Title,Movie ID,Genre,Production Company,Budget,Revenue,Overview,Release Date,Profit Percentage
I Now Pronounce You Chuck & Larry,3563,Comedy,Happy Madison Productions,85000000,186072214,"Firefighters Chuck Ford and Larry Valentine are guy's guys, loyal to the core – which is why, when widower Larry asks Chuck to pose as his gay lover so that he can get domestic partner benefits for his kids, his buddy agrees. However, things get dicey when a bureaucrat comes calling, and the boys are forced to present a picture of domestic bliss.",2007-07-12,54.31881086769893
30 Days of Night,4513,Horror,HorrorFlix,30000000,75505973,"This is the story of an isolated Alaskan town that is plunged into darkness for a month each year when the sun sinks below the horizon. As the last rays of light fade, the town is attacked by a bloodthirsty gang of vampires bent on an uninterrupted orgy of destruction. Only the small town's husband-and-wife Sheriff team stand between the survivors and certain destruction.",2007-10-17,60.268043959912944
Om Shanti Om,8079,Comedy,Red Chillies Entertainment,9100000,37707444,"In this modern remake of Karz, Om - an aspiring actor from the 1970s - is murdered, but is immediately reincarnated into the present day. He attempts to discover the mystery of his demise and find Shanti, the love of his previous life.",2007-11-07,75.8668341455337
War,10431,Action,Lionsgate,25000000,40452643,"FBI agent Jack Crawford is out for revenge when his partner is killed and all clues point to the mysterious assassin Rogue. But when Rogue turns up years later to take care of some unfinished business, he triggers a violent clash of rival gangs. Will the truth come out before it's too late? And when the dust settles, who will remain standing?",2007-08-24,38.1993408934986
Meet the Robinsons,1267,Animation,Walt Disney Pictures,150000000,169332978,"In this animated adventure, brilliant preteen inventor Lewis creates a memory scanner to retrieve his earliest recollections and find out why his mother gave him up for adoption. But when the villainous Bowler Hat Guy steals the machine, Lewis is ready to give up on his quest until the mysterious Wilbur Robinson shows up on the scene, whisking Lewis to the future to find the scanner and his mom.",2007-03-23,11.417136950133838
In the Valley of Elah,6973,History,Warner Independent Pictures (WIP),23000000,29541790,A career officer and his wife work with a police detective to uncover the truth behind their son's disappearance following his return from a tour of duty in Iraq.,2007-08-31,22.144189637797844
Grindhouse,285923,Thriller,Yer Dead Productions,67000000,25037897,Two full-length feature horror movies written by Quentin Tarantino and Robert Rodriguez put together as a two-film feature. Including fake movie trailers in between both movies.,2007-04-06,-167.5943590629836
Enchanted,4523,Comedy,Walt Disney Pictures,85000000,340487652,"The beautiful princess Giselle is banished by an evil queen from her magical, musical animated land and finds herself in the gritty reality of the streets of modern-day Manhattan. Shocked by this strange new environment that doesn't operate on a ""happily ever after"" basis, Giselle is now adrift in a chaotic world badly in need of enchantment. But when Giselle begins to fall in love with a charmingly flawed divorce lawyer who has come to her aid - even though she is already promised to a perfect fairy tale prince back home - she has to wonder: Can a storybook view of romance survive in the real world?",2007-11-20,75.03580541005933
Rendition,5125,Drama,Anonymous Content,27500000,24748670,"When an Egyptian terrorism suspect ""disappears"" on a flight from Africa to Washington DC, his American wife and a CIA analyst find themselves caught up in a struggle to secure his release from a secret detention facility somewhere outside the US.",2007-09-07,-11.117082251288656
The Diving Bell and the Butterfly,2013,Drama,Pathé Renn Productions,14000000,19777647,"The true story of Elle France editor Jean-Dominique Bauby, who, in 1995 at the age of 43, suffered a stroke that paralyzed his entire body, except his left eye. Using that eye to blink out his memoir, Bauby eloquently described the aspects of his interior world, from the psychological torment of being trapped inside his body to his imagined stories from lands he'd only visited in his mind.",2007-05-22,29.213015077071603
P.S. I Love You,6023,Drama,Wendy Finerman Productions,30000000,156835339,A young widow discovers that her late husband has left her 10 messages intended to help ease her pain and start a new life.,2007-11-15,80.87165801324917
Mr. Brooks,3432,Drama,Tig Productions,20000000,41637263,A psychological thriller about a man who is sometimes controlled by his murder-and-mayhem-loving alter ego.,2007-06-01,51.966103055332916
Dead Silence,14001,Horror,Evolution Entertainment,20000000,22217407,"Jamie returns to his hometown in search of answers to his wife's murder, which occurred after receiving a weird package containing a ventriloquist dummy named Billy, which may be linked to the legend of ventriloquist Mary Shaw. Destined to find out the truth, Jamie goes to the town of Raven's Fair, where Shaw used to perform and is buried. But Jamie is in for more than he expected.",2007-03-16,9.980494123369123
Like Stars on Earth,7508,Drama,Aamir Khan Productions,2600000,28430000,"Ishaan Awasthi is an eight-year-old whose world is filled with wonders that no one else seems to appreciate. Colours, fish, dogs, and kites don't seem important to the adults, who are much more interested in things like homework, marks, and neatness. Ishaan cannot seem to get anything right in class; he is then sent to boarding school, where his life changes forever.",2007-12-21,90.85473091804432
Sukiyaki Western Django,13637,Adventure,Sony Music Entertainment Japan,3800000,2725258,"Several hundred years after the Battle of Dannoura, the Genji and Heike clans face off again in a poor mountain town with a buried treasure legend. A revolver-wielding stranger, a lone gunman, burdened with emotional scars and blessed with incredible skill, drifts into town and crosses paths with two warring clans who are both on the hunt for a hidden treasure in a remote western town. Knowing his services are valuable to either side, he offers himself to the clan who will offer up the largest share of the wealth.  Yoshitsune commands his Genji gang in white while Kiyomori leads his Heike gang in red. Expectations collide as the key players wonder which gang the gunman will join. Dirty tricks, betrayal, desire and finally, love, get jumbled together, as the situation erupts into a showdown.",2007-09-15,-39.43633960527774
The Last Legion,9703,Action,Dino De Laurentiis Company,67000000,25303038,"As the Roman empire crumbles, young Romulus Augustus flees the city and embarks on a perilous voyage to Britain to track down a legion of supporters.",2007-04-19,-164.79033861467545
Sydney White,10760,Comedy,Clifford Werber Productions,16500000,13620075,A modern retelling of Snow White set against students in their freshman year of college in the greek system.,2007-09-21,-21.14470735293308
Michael Clayton,4566,Drama,Castle Rock Entertainment,25000000,92991835,A law firm brings in its 'fixer' to remedy the situation after a lawyer has a breakdown while representing a chemical company that he knows is guilty in a multi-billion dollar class action suit.,2007-09-28,73.11591926323425
