Title,Movie ID,Genre,Production Company,Budget,Revenue,Overview,Release Date,Profit Percentage
The Grey,75174,Action,Open Road Films,25000000,77278331,An oil drilling team struggles to survive after a plane crash strands them in the wilds of Alaska. Hunting them is a pack of wolves that sees them as intruders.,2012-01-26,67.64940485063012
End of Watch,77016,Crime,5150 Action,7000000,48126384,Two young officers are marked for death after confiscating a small cache of money and firearms from the members of a notorious cartel during a routine traffic stop.,2012-09-20,85.45496374712049
The Impossible,80278,Thriller,Summit Entertainment,42000000,180274123,"In December 2004, close-knit family Maria, Henry and their three sons begin their winter vacation in Thailand. But the day after Christmas, the idyllic holiday turns into an incomprehensible nightmare when a terrifying roar rises from the depths of the sea, followed by a wall of black water that devours everything in its path. Though Maria and her family face their darkest hour, unexpected displays of kindness and courage ameliorate their terror.",2012-09-09,76.70214709628624
21 Jump Street,64688,Action,Stephen J. Cannell Productions,42000000,201585328,"In high school, Schmidt was a dork and Jenko was the popular jock. After graduation, both of them joined the police force and ended up as partners riding bicycles in the city park. Since they are young and look like high school students, they are assigned to an undercover unit to infiltrate a drug ring that is supplying high school students synthetic drugs.",2012-03-12,79.16515035260899
Chronicle,76726,Science Fiction,Dune Entertainment,15000000,145000000,"Three high school students make an incredible discovery, leading to their developing uncanny powers beyond their understanding. As they learn to control their abilities and use them to their advantage, their lives start to spin out of control, and their darker sides begin to take over.",2012-02-01,89.65517241379311
Safe House,59961,Action,Universal Pictures,85000000,208076205,"A dangerous CIA renegade resurfaces after a decade on the run. When the safe house he's remanded to is attacked by mercenaries, a rookie operative escapes with him. Now, the unlikely allies must stay alive long enough to uncover who wants them dead.",2012-02-09,59.149581760201755
American Reunion,71552,Comedy,Universal Pictures,50000000,234989584,"The characters we met a little more than a decade ago are returning to East Great Falls for their high-school reunion. In one long-overdue weekend, they will discover what has changed, who hasn’t and that time and distance can’t break the bonds of friendship. It was summer 1999 when four small-town Michigan boys began a quest to lose their virginity. In the years that have passed, Jim and Michelle married while Kevin and Vicky said goodbye. Oz and Heather grew apart, but Finch still longs for Stifler’s mom. Now these lifelong friends have come home as adults to reminisce about – and get inspired by – the hormonal teens who launched a comedy legend.",2012-04-04,78.72246116236369
Moonrise Kingdom,83666,Comedy,Focus Features,16000000,68263166,"Set on an island off the coast of New England in the summer of 1965, Moonrise Kingdom tells the story of two twelve-year-olds who fall in love, make a secret pact, and run away together into the wilderness. As various authorities try to hunt them down, a violent storm is brewing off-shore – and the peaceful island community is turned upside down in more ways than anyone can handle.",2012-05-16,76.56129807984587
Brave,62177,Animation,Pixar,185000000,538983207,"Brave is set in the mystical Scottish Highlands, where Mérida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, Mérida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. In an attempt to set things right, Mérida seeks out an eccentric old Wise Woman and is granted an ill-fated wish. Also figuring into Mérida’s quest — and serving as comic relief — are the kingdom’s three lords: the enormous Lord MacGuffin, the surly Lord Macintosh, and the disagreeable Lord Dingwall.",2012-06-21,65.67611057314444
Taken 2,82675,Action,EuropaCorp,45000000,376141306,"In Istanbul, retired CIA operative Bryan Mills and his wife are taken hostage by the father of a kidnapper Mills killed while rescuing his daughter.",2012-09-27,88.0364109758262
Man on a Ledge,49527,Action,Di Bonaventura Picture,42000000,46221189,"An ex-cop turned con threatens to jump to his death from a Manhattan hotel rooftop. The NYPD dispatch a female police psychologist to talk him down. However, unbeknownst to the police on the scene, the suicide attempt is a cover for the biggest diamond heist ever pulled.",2012-01-13,9.132584192068274
The Dictator,76493,Comedy,Four By Two Productions,65000000,179379533,The heroic story of a dictator who risks his life to ensure that democracy would never come to the country he so lovingly oppressed.,2012-05-15,63.763981925407286
Journey 2: The Mysterious Island,72545,Adventure,Walden Media,79000000,355692760,"Sean Anderson partners with his mom's boyfriend on a mission to find his grandfather, who is thought to be missing on a mythical island.",2012-01-19,77.78982063059141
Silent Hill: Revelation 3D,61012,Thriller,Konami Corporation Ltd.,20000000,52302796,"Heather Mason and her father have been on the run, always one step ahead of dangerous forces that she doesn't fully understand, Now on the eve of her 18th birthday, plagued by horrific nightmares and the disappearance of her father, Heather discovers she's not who she thinks she is. The revelation leads her deeper into a demonic world that threatens to trap her forever.",2012-10-10,61.76112649885869
Jack Reacher,75780,Crime,Paramount,60000000,218340595,"In an innocent heartland city, five are shot dead by an expert sniper. The police quickly identify and arrest the culprit, and build a slam-dunk case. But the accused man claims he's innocent and says ""Get Jack Reacher."" Reacher himself sees the news report and turns up in the city. The defense is immensely relieved, but Reacher has come to bury the guy. Shocked at the accused's request, Reacher sets out to confirm for himself the absolute certainty of the man's guilt, but comes up with more than he bargained for.",2012-12-20,72.51999794174785
The Bourne Legacy,49040,Action,Dentsu,130000000,276572938,"New CIA operative, Aaron Cross experiences life-or-death stakes that have been triggered by the previous actions of Jason Bourne.",2012-08-08,52.99612429904476
Dredd,49049,Action,Rena Film,50000000,41037742,"In the future, America is a dystopian wasteland. The latest scourge is Ma-Ma, a prostitute-turned-drug pusher with a dangerous new drug and aims to take over the city. The only possibility of stopping her is an elite group of urban police called Judges, who combine the duties of judge, jury and executioner to deliver a brutal brand of swift justice. But even the top-ranking Judge, Dredd, discovers that taking down Ma-Ma isn’t as easy as it seems in this explosive adaptation of the hugely popular comic series.",2012-09-07,-21.839062197915275
Mirror Mirror,62764,Adventure,Misher Films,85000000,183018522,"After she spends all her money, an evil enchantress queen schemes to marry a handsome, wealthy prince. There's just one problem - he's in love with a beautiful princess, Snow White. Now, joined by seven rebellious dwarves, Snow White launches an epic battle of good vs. evil...",2012-03-15,53.556613248138895
Underworld: Awakening,52520,Fantasy,Screen Gems,70000000,160112671,"After being held in a coma-like state for fifteen years, vampire Selene learns that she has a fourteen-year-old vampire/Lycan hybrid daughter named Nissa, and when she finds her, they must stop BioCom from creating super Lycans that will kill them all.",2012-01-19,56.28078679669268
Argo,68734,Drama,GK Films,44500000,232324128,"As the Iranian revolution reaches a boiling point, a CIA 'exfiltration' specialist concocts a risky plan to free six Americans who have found shelter at the home of the Canadian ambassador.",2012-10-11,80.8457260194688
The Pirates! In an Adventure with Scientists!,72197,Animation,Sony Pictures Animation,60000000,118338361,"The luxuriantly bearded Pirate Captain is a boundlessly enthusiastic, if somewhat less-than-successful, terror of the High Seas. With a rag-tag crew at his side, and seemingly blind to the impossible odds stacked against him, the Captain has one dream: to beat his bitter rivals Black Bellamy and Cutlass Liz to the much coveted Pirate of the Year Award. It’s a quest that takes our heroes from the shores of exotic Blood Island to the foggy streets of Victorian London. Along the way they battle a diabolical queen and team up with a haplessly smitten young scientist, but never lose sight of what a pirate loves best: adventure!",2012-03-12,49.29792884320918
Alex Cross,94348,Action,Summit Entertainment,45000000,30353232,"After Washington DC detective Alex Cross is told that a family member has been murdered, he vows to track down the killer. He soon discovers that she was not his first victim and that things are not what they seem.",2012-10-18,-48.25439346953234
Byzantium,102780,Drama,WestEnd Films,10000000,89237,"Two mysterious women seek refuge in a run-down coastal resort. Clara meets lonely Noel, who provides shelter in his deserted guesthouse, Byzantium. Schoolgirl Eleanor befriends Frank and tells him their lethal secret. They were born 200 years ago and survive on human blood. As knowledge of their secret spreads, their past catches up on them with deathly consequence.",2012-09-09,-11106.11405582886
Safety Not Guaranteed,84332,Comedy,Big Beach Films,750000,4007792,Three magazine employees head out on an assignment to interview a guy who placed a classified ad seeking a companion for time travel.,2012-06-08,81.28645398763209
Bachelorette,84174,Comedy,Gary Sanchez Productions,3000000,11947954,Three friends are asked to be bridesmaids at a wedding of a woman they used to ridicule back in high school.,2012-08-06,74.89109850941843
Arbitrage,60599,Drama,Lucky Monkey Pictures,12000000,35485056,"A troubled hedge fund magnate, desperate to complete the sale of his trading empire, makes an error that forces him to turn to an unlikely person for help.",2012-09-14,66.18294754839896
Upside Down,58244,Romance,France 2 Cinéma,60000000,8106475,"In an alternate universe where twinned worlds have opposite gravities, a young man battles interplanetary prejudice and the laws of physics in his quest to reunite with the long-lost girl of his dreams in this visually stunning romantic adventure that poses the question: what if love was stronger than gravity?",2012-09-27,-640.1490783601997
Iron Sky,10679,Action,Blind Spot Pictures Oy,7500000,8135031,"In the last moments of World War II, a secret Nazi space program evaded destruction by fleeing to the Dark Side of the Moon. During 70 years of utter secrecy, the Nazis construct a gigantic space fortress with a massive armada of flying saucers.",2012-03-10,7.806128827290271
The Woman in Black,65086,Drama,Exclusive Media Group,17000000,127730736,"The story follows a young lawyer, Arthur Kipps, who is ordered to travel to a remote village and sort out a recently deceased client’s papers. As he works alone in the client’s isolated house, Kipps begins to uncover tragic secrets, his unease growing when he glimpses a mysterious woman dressed only in black. Receiving only silence from the locals, Kipps is forced to uncover the true identity of the Woman in Black on his own, leading to a desperate race against time when he discovers her true identity.",2012-02-03,86.69075233387835
Premium Rush,49526,Crime,Pariah Entertainment Group,35000000,31083599,"In Manhattan, a bike messenger picks up an envelope that attracts the interest of a dirty cop, who pursues the cyclist throughout the city.",2012-08-24,-12.599573813830245
Seven Psychopaths,86838,Comedy,CBS Films,15000000,33035736,A struggling screenwriter inadvertently becomes entangled in the Los Angeles criminal underworld after his oddball friends kidnap a gangster's beloved Shih Tzu.,2012-09-07,54.59462443942523
The Words,83686,Drama,CBS Films,6000000,13231461,"The Words follows young writer Rory Jansen who finally achieves long sought after literary success after publishing the next great American novel. There's only one catch - he didn't write it. As the past comes back to haunt him and his literary star continues to rise, Jansen is forced to confront the steep price that must be paid for stealing another man's work, and for placing ambition and success above life's most fundamental three words.",2012-09-07,54.65353372541399
The Hunt,103663,Drama,Sveriges Television (SVT),3800000,16800000,"A teacher lives a lonely life, all the while struggling over his son’s custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",2012-08-28,77.38095238095238
Piranha 3DD,71668,Horror,Dimension Films,5000000,8493728,"After the events at Lake Victoria, the prehistoric school of blood-thirsty piranhas make their way into swimming pools, plumbing, and a newly opened water park.",2012-05-11,41.1330336926259
Bernie,92591,Comedy,Mandalay Vision,5000000,9206470,"In small-town Texas, affable and popular mortician Bernie Tiede strikes up a friendship with Marjorie Nugent, a wealthy widow well known for her sour attitude. When she becomes controlling and abusive, Bernie goes to great lengths to remove himself from her grasp.",2012-04-27,45.6903677522438
Robot & Frank,84329,Science Fiction,Park Pictures,2500000,3325038,"A delightful dramatic comedy, a buddy picture, and, for good measure, a heist film. Curmudgeonly old Frank lives by himself. His routine involves daily visits to his local library, where he has a twinkle in his eye for the librarian. His grown children are concerned about their father’s well-being and buy him a caretaker robot. Initially resistant to the idea, Frank soon appreciates the benefits of robotic support – like nutritious meals and a clean house – and eventually begins to treat his robot like a true companion. With his robot’s assistance, Frank’s passion for his old, unlawful profession is reignited, for better or worse.",2012-08-16,24.812889356452466
Laurence Anyways,110160,Drama,MK2 Productions,9500000,12250,"Set in the 1980s and 1990s, a man tries to salvage his relationship with his fiancée after revealing to her his aspirations of becoming a woman.  This is the story of a wild and unusual love.",2012-05-18,-77451.02040816327
To Rome with Love,81836,Romance,Mediapro,17000000,73244881,"Four tales unfold in the Eternal City: While vacationing in Rome, architect John encounters a young man whose romantic woes remind him of a painful incident from his own youth; retired opera director Jerry discovers a mortician with an amazing voice, and he seizes the opportunity to rejuvenate his own flagging career; a young couple have separate romantic interludes; a spotlight shines on an ordinary man.",2012-04-20,76.79018688009064
Red Dawn,60747,War,Contrafilm,65000000,44806783,"A city in Washington state awakens to the surreal sight of foreign paratroopers dropping from the sky - shockingly, the U.S. has been invaded and their hometown is the initial target. Quickly and without warning, the citizens find themselves prisoners and their town under enemy occupation. Determined to fight back, a group of young patriots seek refuge in the surrounding woods, training and reorganizing themselves into a guerrilla group of fighters. Taking inspiration from their high school mascot, they call themselves the Wolverines, banding together to protect one another, liberate their town from its captors, and take back their freedom.",2012-11-21,-45.067321615122424
About Cherry,94901,Drama,Gordon Bijelonic / Datari Turner Films,2500000,3003,"A drama centered on a troubled young woman who moves to San Francisco, where she gets involved in pornography and aligns herself with a cocaine-addicted lawyer.",2012-02-14,-83150.08325008325
Universal Soldier: Day of Reckoning,122857,Action,Signature Pictures,11500000,1402307,"In a world without government, the surviving Unisols maintain order and choose the strongest of their ranks to rule, testing them in life-or-death combat.",2012-10-04,-720.0772013546249
Amour,86837,Drama,Wega Film,8900000,29844753,"Georges and Anne are in their eighties. They are cultivated, retired music teachers. Their daughter, who is also a musician, lives abroad with her family. One day, Anne has a stroke, and the couple's bond of love is severely tested.",2012-07-01,70.17901270618658
Thor: The Dark World,76338,Action,Marvel Studios,170000000,644571402,"Thor fights to restore order across the cosmos… but an ancient race led by the vengeful Malekith returns to plunge the universe back into darkness. Faced with an enemy that even Odin and Asgard cannot withstand, Thor must embark on his most perilous and personal journey yet, one that will reunite him with Jane Foster and force him to sacrifice everything to save us all.",2013-10-29,73.6258854375919
Iron Man 3,68721,Action,Marvel Studios,200000000,1215439994,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",2013-04-18,83.54505356189554
The Wolf of Wall Street,106646,Crime,EMJAG Productions,100000000,392000694,"A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography.",2013-12-25,74.48984108176094
Frozen,109445,Animation,Walt Disney Pictures,150000000,1274219009,"Young princess Anna of Arendelle dreams about finding true love at her sister Elsa’s coronation. Fate takes her on a dangerous journey in an attempt to end the eternal winter that has fallen over the kingdom. She's accompanied by ice delivery man Kristoff, his reindeer Sven, and snowman Olaf. On an adventure where she will find out what friendship, courage, family, and true love really means.",2013-11-27,88.2280833247246
Pacific Rim,68726,Action,Double Dare You Productions,180000000,407602906,"When legions of monstrous creatures, known as Kaiju, started rising from the sea, a war began that would take millions of lives and consume humanity's resources for years on end. To combat the giant Kaiju, a special type of weapon was devised: massive robots, called Jaegers, which are controlled simultaneously by two pilots whose minds are locked in a neural bridge. But even the Jaegers are proving nearly defenseless in the face of the relentless Kaiju. On the verge of defeat, the forces defending mankind have no choice but to turn to two unlikely heroes—a washed-up former pilot (Charlie Hunnam) and an untested trainee (Rinko Kikuchi)—who are teamed to drive a legendary but seemingly obsolete Jaeger from the past. Together, they stand as mankind's last hope against the mounting apocalypse.",2013-07-11,55.8393727448057
Man of Steel,49521,Action,Legendary Pictures,225000000,662845518,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",2013-06-12,66.05543918002324
Despicable Me 2,93456,Animation,Illumination Entertainment,76000000,970761885,Gru is recruited by the Anti-Villain League to help deal with a powerful new super criminal.,2013-06-25,92.17109765285026
Gravity,49047,Science Fiction,Esperanto Filmoj,105000000,716392705,"Dr. Ryan Stone, a brilliant medical engineer on her first Shuttle mission, with veteran astronaut Matt Kowalsky in command of his last flight before retiring. But on a seemingly routine spacewalk, disaster strikes. The Shuttle is destroyed, leaving Stone and Kowalsky completely alone-tethered to nothing but each other and spiraling out into the blackness of space. The deafening silence tells them they have lost any link to Earth and any chance for rescue. As fear turns to panic, every gulp of air eats away at what little oxygen is left. But the only way home may be to go further out into the terrifying expanse of space.",2013-09-27,85.34323433681531
Her,152601,Romance,Annapurna Pictures,23000000,47351251,"In the not so distant future, Theodore, a lonely writer purchases a newly developed operating system designed to meet the user's every needs. To Theodore's surprise, a romantic relationship develops between him and his operating system. This unconventional love story blends science fiction and romance in a sweet tale that explores the nature of love and the ways that technology isolates and connects us all.",2013-12-18,51.42683769854359
The Croods,49519,Action,DreamWorks Animation,135000000,585178928,"The Croods is a prehistoric comedy adventure that follows the world's first family as they embark on a journey of a lifetime when the cave that has always shielded them from danger is destroyed. Traveling across a spectacular landscape, the Croods discover an incredible new world filled with fantastic creatures -- and their outlook is changed forever.",2013-03-20,76.93013306863298
Prisoners,146233,Drama,Madhouse Entertainment,46000000,122126687,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts. But just how far will this desperate father go to protect his family?",2013-09-18,62.334194818532985
Oblivion,75612,Action,Universal Pictures,120000000,286168572,"Jack Harper is one of the last few drone repairmen stationed on Earth.  Part of a massive operation to extract vital resources after decades of war with a terrifying threat known as the Scavs, Jack’s mission is nearly complete.  His existence is brought crashing down when he rescues a beautiful  stranger from a downed spacecraft.  Her arrival triggers a chain of events that  forces him to question everything he knows and puts the fate of humanity in his hands.",2013-04-10,58.06667407209203
Kick-Ass 2,59859,Action,Marv Films,28000000,60700000,"After Kick-Ass’ insane bravery inspires a new wave of self-made masked crusaders, he joins a patrol led by the Colonel Stars and Stripes. When these amateur superheroes are hunted down by Red Mist — reborn as The Mother Fucker — only the blade-wielding Hit-Girl can prevent their annihilation.",2013-07-17,53.87149917627677
Elysium,68724,Science Fiction,Genre Films,115000000,286140700,"In the year 2159, two classes of people exist: the very wealthy who live on a pristine man-made space station called Elysium, and the rest, who live on an overpopulated, ruined Earth. Secretary Rhodes (Jodie Foster), a hard line government ofﬁcial, will stop at nothing to enforce anti-immigration laws and preserve the luxurious lifestyle of the citizens of Elysium. That doesn’t stop the people of Earth from trying to get in, by any means they can. When unlucky Max (Matt Damon) is backed into a corner, he agrees to take on a daunting mission that, if successful, will not only save his life, but could bring equality to these polarized worlds.",2013-08-07,59.809981592971575
The Hobbit: The Desolation of Smaug,57158,Adventure,Warner Bros. Pictures,250000000,958400000,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",2013-12-11,73.91485809682806
Snowpiercer,110415,Action,CJ Entertainment,39200000,86758912,"In a future where a failed global-warming experiment kills off most life on the planet, a class system evolves aboard the Snowpiercer, a train that travels around the globe via a perpetual-motion engine.",2013-08-01,54.81732182164756
Captain Phillips,109424,Action,Columbia Pictures,55000000,95000000,"The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the US-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years.",2013-10-10,42.10526315789473
The Great Gatsby,64682,Drama,Spectrum Films,105000000,351040419,"An adaptation of F. Scott Fitzgerald's Long Island-set novel, where Midwesterner Nick Carraway is lured into the lavish world of his neighbor, Jay Gatsby. Soon enough, however, Carraway will see through the cracks of Gatsby's nouveau riche existence, where obsession, madness, and tragedy await.",2013-05-10,70.08891446201243
A Good Day to Die Hard,47964,Action,Mid Atlantic Films,92000000,304654182,"Iconoclastic, take-no-prisoners cop John McClane, finds himself for the first time on foreign soil after traveling to Moscow to help his wayward son Jack - unaware that Jack is really a highly-trained CIA operative out to stop a nuclear weapons heist. With the Russian underworld in pursuit, and battling a countdown to war, the two McClanes discover that their opposing methods make them unstoppable heroes.",2013-02-06,69.80182599298769
The World's End,107985,Comedy,Focus Features,20000000,46089287,Five friends who reunite in an attempt to top their epic pub crawl from 20 years earlier unwittingly become humankind's only hope for survival.,2013-07-18,56.60596789010861
We're the Millers,138832,Comedy,Vincent Newman Entertainment,37000000,269994119,A veteran pot dealer creates a fake family as part of his plan to move a huge shipment of weed into the U.S. from Mexico.,2013-08-07,86.29599780282622
The Heat,136795,Action,Ingenious Film Partners,43000000,158674180,"Uptight and straight-laced, FBI Special Agent Sarah Ashburn is a methodical investigator with a reputation for excellence--and hyper-arrogance. Shannon Mullins, one of Boston P.D.'s ""finest,"" is foul-mouthed and has a very short fuse, and uses her gut instinct and street smarts to catch the most elusive criminals. Neither has ever had a partner, or a friend for that matter. When these two wildly incompatible law officers join forces to bring down a ruthless drug lord, they become the last thing anyone expected: Buddies.",2013-06-27,72.90044290759845
Escape Plan,107846,Action,Knightsbridge Entertainment,50000000,122915111,"Ray Breslin is the world's foremost authority on structural security. After analyzing every high security prison and learning a vast array of survival skills so he can design escape-proof prisons, his skills are put to the test. He's framed and incarcerated in a master prison he designed himself. He needs to escape and find the person who put him behind bars.",2013-10-09,59.32151906041886
The Hangover Part III,109439,Comedy,Green Hat Films,103000000,362000072,"This time, there's no wedding. No bachelor party. What could go wrong, right? But when the Wolfpack hits the road, all bets are off.",2013-05-23,71.54696698513364
G.I. Joe: Retaliation,72559,Adventure,Paramount,130000000,371876278,"Framed for crimes against the country, the G.I. Joe team is terminated by Presidential order. This forces the G.I. Joes into not only fighting their mortal enemy Cobra; they are forced to contend with threats from within the government that jeopardize their very existence.",2013-03-26,65.04213694426618
The Lone Ranger,57201,Action,Silver Bullet Productions (II),255000000,89289910,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.",2013-07-03,-185.58657971544602
12 Years a Slave,76203,Drama,New Regency Pictures,20000000,187000000,"In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon’s chance meeting with a Canadian abolitionist will forever alter his life.",2013-10-18,89.3048128342246
Evil Dead,109428,Horror,TriStar Pictures,17000000,97542952,"Evil Dead, the fourth installment of the Evil Dead franchise, serving as both a reboot and as a loose continuation of the series, features Mia, a young woman struggling with sobriety, heads to a remote cabin with a group of friends where the discovery of a Book of the Dead unwittingly summon up dormant demons which possess the youngsters one by one.",2013-04-05,82.57178027583171
Blue Jasmine,160588,Comedy,Gravier Productions,18000000,99206215,"Jasmine French used to be on the top of the heap as a New York socialite, but now is returning to her estranged sister in San Francisco utterly ruined. As Jasmine struggles with her haunting memories of a privileged past bearing dark realities she ignored, she tries to recover in her present. Unfortunately, it all proves a losing battle as Jasmine's narcissistic hangups and their consequences begin to overwhelm her. In doing so, her old pretensions and new deceits begin to foul up everyone's lives, especially her own.",2013-07-25,81.8559754547636
Life of Crime,209189,Comedy,Abbolita Productions,12000000,265452,Two common criminals get more than they bargained for after kidnapping the wife of a corrupt real-estate developer who shows no interest in paying the $1 million dollar ransom for her safe return.,2013-09-14,-4420.591293341169
White House Down,117251,Action,Iron Horse Entertainment (II),150000000,205366737,"Capitol Policeman John Cale has just been denied his dream job with the Secret Service of protecting President James Sawyer. Not wanting to let down his little girl with the news, he takes her on a tour of the White House, when the complex is overtaken by a heavily armed paramilitary group. Now, with the nation's government falling into chaos and time running out, it's up to Cale to save the president, his daughter, and the country.",2013-06-27,26.959934120197858
Anchorman 2: The Legend Continues,109443,Comedy,Gary Sanchez Productions,50000000,173649015,"With the 70s behind him, San Diego's top rated newsman, Ron Burgundy, returns to take New York's first 24-hour news channel by storm.",2013-12-18,71.20628642782685
Percy Jackson: Sea of Monsters,76285,Adventure,Dune Entertainment III,90000000,174578751,"In their quest to confront the ultimate evil, Percy and his friends battle swarms of mythical creatures to find the mythical Golden Fleece and to stop an ancient evil from rising.",2013-08-07,48.447334234851986
Third Person,192145,Drama,Apulia Film Commission,28000000,1749201,"An acclaimed novelist struggles to write an analysis of love in one of three stories, each set in a different city, that detail the beginning, middle and end of a relationship.",2013-09-09,-1500.7308479700162
Hummingbird,136418,Action,Lionsgate,20000000,8352885,"Homeless and on the run from a military court martial, a damaged ex-special forces soldier navigating London's criminal underworld seizes an opportunity to assume another man's identity, transforming into an avenging angel in the process.",2013-05-07,-139.438230024716
The Bling Ring,96936,Drama,A24,15000000,19145732,"Inspired by actual events, a group of fame-obsessed teenagers use the Internet to track celebrities' whereabouts in order to rob their homes.",2013-06-12,21.653557043418346
What If,212716,Drama,Fastnet Films,11000000,7847000,"Wallace, a medical school dropout, has been repeatedly burned by bad relationships. So while everyone around him, including his roommate Allan, seems to be finding the perfect partner, Wallace decides to put his love life on hold.  It is then that he meets Chantry, an animator who lives with her long term boyfriend Ben.  Wallace and Chantry form an instant connection, striking up a close friendship. But there is no denying the chemistry between them, leading the pair to wonder:  what if the love of your life is actually your best friend?",2013-09-07,-40.18096087676819
Labor Day,130150,Drama,Right of Way Films,18000000,20275812,"Depressed single mom Adele and her son Henry offer a wounded, fearsome man a ride. As police search town for the escaped convict, the mother and son gradually learn his true story as their options become increasingly limited.",2013-12-27,11.224270574219174
Hansel & Gretel: Witch Hunters,60304,Fantasy,Paramount,50000000,224803475,"After getting a taste for blood as children, Hansel and Gretel have become the ultimate vigilantes, hell-bent on retribution. Now, unbeknownst to them, Hansel and Gretel have become the hunted, and must face an evil far greater than witches... their past.",2013-01-17,77.75835093296489
The East,87499,Drama,Scott Free Productions,6500000,2401510,An operative for an elite private intelligence firm finds her priorities irrevocably changed after she is tasked with infiltrating an anarchist group known for executing covert attacks upon major corporations.,2013-05-31,-170.66304116993058
In a World...,157360,Comedy,More Films,1000000,2963902,"An underachieving vocal coach is motivated by her father, the king of movie-trailer voice-overs, to pursue her aspirations of becoming a voice-over star. Amidst pride, sexism and family dysfunction, she sets out to change the voice of a generation.",2013-08-09,66.26069282992488
Turbo,77950,Animation,DreamWorks Animation,135000000,282570682,The tale of an ordinary garden snail who dreams of winning the Indy 500.,2013-07-11,52.224342934487446
Belle,205601,Drama,Pinewood Studios,10900000,16505460,"BELLE is inspired by the true story of Dido Elizabeth Belle, the illegitimate mixed race daughter of a Royal Navy Admiral. Raised by her aristocratic great-uncle Lord Mansfield and his wife, Belle's lineage affords her certain privileges, yet the color of her skin prevents her from fully participating in the traditions of her social standing. Left to wonder if she will ever find love, Belle falls for an idealistic young vicar's son bent on change who, with her help, shapes Lord Mansfield's role as Lord Chief Justice to end slavery in England",2013-09-08,33.9612467631923
The Wind Rises,149870,Animation,Touchstone Pictures,30000000,117932401,"A lifelong love of flight inspires Japanese aviation engineer Jiro Horikoshi, whose storied career includes the creation of the A-6M World War II fighter plane.",2013-07-20,74.56169827323367
The Young and Prodigious T.S. Spivet,157841,Adventure,Epithète Films,33000000,9494789,A 12-year-old cartographer secretly leaves his family's ranch in Montana where he lives with his cowboy father and scientist mother and travels across the country on board a freight train to receive an award at the Smithsonian Institute.,2013-10-16,-247.55906634681403
Adore,111190,Drama,Gaumont,16000000,318982,"Lil and Roz are two lifelong friends, having grown up together as neighbors in an idyllic beach town. As adults, their sons have developed a friendship as strong as that which binds their mothers. One summer, all four are confronted by simmering emotions that have been mounting between them, and each find unexpected happiness in relationships that cross the bounds of convention.",2013-04-03,-4915.957013248397
Khumba,172391,Animation,Triggerfish Animation,20000000,27187375,A half-striped zebra is blamed for the drought and leaves his herd in search of his missing stripes. He is joined on his quest by an overprotective wildebeest and a flamboyant ostrich; they defeat the tyrannical leopard and save his herd.,2013-07-18,26.4364433859466
The Way Way Back,147773,Comedy,Sycamore Pictures,4600000,23198652,"Over the course of his summer break, a teenager comes into his own thanks in part to the friendship he strikes up with one of the park's managers.",2013-06-06,80.17126167503181
Austenland,156711,Comedy,Fickle Fish Films,4900000,2159041,"Obsessed with the BBC production of ""Pride and Prejudice"", a woman travels to a Jane Austen theme park in search for her perfect gentleman.",2013-08-15,-126.95261460991244
Oculus,157547,Horror,MICA Entertainment,5000000,44030246,A woman tries to exonerate her brother's murder conviction by proving that the crime was committed by a supernatural phenomenon.,2013-09-08,88.64416973732102
Lovelace,77805,Drama,Millennium Films,10000000,1585582,"Story of Linda Lovelace, who is used and abused by the porn industry at the behest of her coercive husband, before taking control of her life.",2013-08-08,-530.6832443859731
Gimme Shelter,232175,Drama,Day Twenty- Eight Films,7500000,1359910,"After running away from her abusive mother, a streetwise teen seeks refuge with her father, but he rejects her when he learns that she's pregnant.",2013-10-17,-451.50708502768566
